granularity,memorySize,@log,invocations,avgDurationMs,minDurationMs,maxDurationMs,p50DurationMs,p90DurationMs,p95DurationMs,p99DurationMs,avgBilledDurationMs,totalBilledDurationMs,avgMaxMemoryUsedMB,peakMemoryUsedMB,coldStarts,coldStartRatePercent,avgInitDurationMs
g3,128,390403896473:/aws/lambda/research-order-g3-inventory,3537,2.2244,0.97,324.02,1.2994,1.5493,3.7597,17.9315,2.9406,10401,72.1072,76,1,0.02827,134.3
g3,128,390403896473:/aws/lambda/research-order-g3-notification,3536,2.3663,1.06,167.66,1.3797,1.6385,5.9543,19.7965,2.9774,10528,72.3467,76,,,
g3,128,390403896473:/aws/lambda/research-order-g3-orchestrator-128,1180,207.8644,111.85,6687.81,165.4131,283.7735,396.2358,632.5604,210.2729,248122,97.0881,99,5,0.4237,447.482
g3,128,390403896473:/aws/lambda/research-order-g3-payment,3536,2.1314,1.12,171.49,1.3687,1.6189,4.4783,17.647,2.7458,9709,74.5781,78,,,
g3,128,390403896473:/aws/lambda/research-order-g3-persist,3534,2.0894,1.07,151.9,1.3687,1.5885,2.5588,16.8035,2.7063,9564,73.6061,76,,,
g3,128,390403896473:/aws/lambda/research-order-g3-pricing,3531,2.2591,1.12,167.53,1.3797,1.6189,4.4294,18.8692,2.9006,10242,73.7057,78,1,0.02832,134.87
g3,128,390403896473:/aws/lambda/research-order-g3-validate,3533,2.0004,1.02,181.93,1.3389,1.5695,1.8584,15.9047,2.7178,9602,71.4563,75,2,0.05661,121.46
g3,512,390403896473:/aws/lambda/research-order-g3-orchestrator-512,1176,97.9231,71.55,506.36,94.6064,111.3462,118.939,167.9118,98.4218,115744,117.9277,119,,,
g3,1024,390403896473:/aws/lambda/research-order-g3-orchestrator-1024,1175,107.3654,69.36,7547.15,93.3851,107.7335,113.9355,131.968,108.6085,127615,109.6026,112,2,0.1702,440.585
