granularity,memories_tested,mean_rt_avg_across_memory_ms,p95_avg_across_memory_ms,cost_avg_per_1000_usd,best_latency_memory_mb,best_latency_mean_ms,best_cost_memory_mb,best_cost_per_1000_usd,best_cost_latency_memory_mb,best_cost_latency_score,success_rate_min_pct
G1,128/512/1024,479.26666666666665,491.2,0.002708614888948974,128,475.6,128,0.0015495473305673156,128,1.1607390941928313,100.0
G2,128/512/1024,377.3333333333333,405.6333333333333,0.0031884209420699997,512,371.5,128,0.0021431050488499997,128,1.2273694557267327,100.0
G3,128/512/1024,392.1333333333333,456.0,0.0032465562327600003,512,359.9,128,0.002778770893845,512,1.4952787054165766,99.91525423728814
G4,128/512/1024,520.1,668.4333333333334,0.005154758329308333,512,468.3,128,0.00426537999355,128,2.2396263402990235,100.0
